"Modules","Category","SubCategory","ModelCode","Units","Description","Value","RefID","Comment","ValueType","MinValue","MaxValue","Temp","DataSource","DataTable","MayBeNonNumeric","ParameterCode"
,,,"NSV","NA","Number of state variables","Specific",,,,,,"",,"Fate_constant:System",0,"NSV"
,,,"NumPrintInterval","[days]","Time step printing interval","Specific",,,,,,"",,"Fate_constant:System",0,"NumPrintInterval"
,,,"NumSectnPrint","NA","Section to output concentrations for","Specific",,,,,,"",,"Fate_constant:System",0,"NumSectnPrint"
,,,"NumSplineConc","NA","Number of concentration data points for constructing 2-D spline","44",146,,"Constant",,,"44",,"tbl_Model_Parameters:System",0,"NumSplineConc"
,,,"NumSplinepH","NA","Number of Ph data points for constructing 2-D spline","9",146,,"Constant",,,"9",,"tbl_Model_Parameters:System",0,"NumSplinepH"
,,,"NumWSSub","NA","Number of watershed sub basins","1",,,,,,"",,"Fate_constant:System",0,"NumWSSub"
,,,"nv","[1/day]","Number of vehicles per day on field","Specific",,,,,,"","Set to 0, assuming that no regular vehicular activity occurs on the agricultural field","Fate_constant:Constant",0,"nvehicles"
,,,"nw","[count]","Number of wheels on each vehicle","Specific",,,,,,"",,"Fate_constant:Constant",0,"nwheels"
,,,"NyrMax","[yrs]","Maximum model simulation time","Specific",,,,,,"","Chosen to ensure that the entire time period in which receptors may be exposed was modeled. Value is based on the fact that exposure must begin sometime during the operation of the unit.  Max operating life is 40 yrs, max exposure duration is 10 yrs","Fate_constant:Constant",0,"NyrMax"
,,,"P","[fraction]","USLE supporting practice factor (watershed)","Specific",,,,,,"",,"Fate_constant:Landuse",0,"P"
,,,"pHFreq","[yrs]","Frequency of pH change = frequency of application","2",,,,,,"",,"tbl_Model_Parameters:WMU",0,"pHFreq"
,,,"pHParams","NA","Parameters used in function for determining pH as a function of year, given an application frequency of CKD",,,,,,,"",,"tbl_Model_Parameters:System",0,"pHParams"
,,,"PI_1","[%]","Percent impervious (field)","Specific",,,,,,"",,"Fate_constant:Landuse",0,"PI_field"
,,,"PI_4","[%]","Percent impervious (watershed)","Specific",,,,,,"",,"Fate_constant:Landuse",0,"PI_RWS"
,,,"Pwmu","[empirical]","USLE erosion control factor (field)","Specific",,,,,,"",,"Fate_constant:Landuse",0,"Pwmu"
,,,"R","[1/yr]","USLE rainfall/erosivity factor","Specific",,,,,,"",,"Fate_constant:Regional",0,"R"
,,,"Rappl","[MTwet/m2-yr]","Biosolids application rate (wet weight)","Specific",,,,,,"","U.S. EPA, 1995","Fate_constant:Distn",0,"Rappl"
,,,"RunID","NA","Run identification label (optional)",,,"Current value stored in temp field",,,,"",,"tbl_Model_Parameters:System",0,"RunID"
,,,"RWS_frac","[fraction]","Fraction of field treated with biosolids","Specific",,,,,,"",,"Fate_constant:Distn",0,"RWS_frac"
,,,"Sed_Density","[mg/L]","Density of sediment solids (not bulk density)","Specific",,,,,,"",,"Fate_constant:Constant",0,"Sed_Density"
